country,year,month,fx_reserves
canada,2018,10,82088.2252547604
canada,2019,6,86299.9527119551
canada,2020,2,87567.426807547
canada,2020,10,90872.0943328308
canada,2021,7,90198.4998885558
canada,2021,9,106175.639454316
canada,2022,8,107766.222723818
canada,2023,6,113956.635918908
canada,2023,8,114173.662527447
canada,2006,2,32623.387772996
canada,2007,11,40767.405923417
canada,2010,8,57789.1770180571
canada,2012,10,67865.9098411671
canada,2013,4,71484.8747440361
canada,2013,11,71915.806240002
canada,2014,9,73570.6425801115
canada,2015,7,76875.7144546722
canada,2016,12,82718.1108576299
canada,2019,2,84420.2361111111
canada,2021,12,106615.119570101
canada,2006,12,34993.8006471937
canada,2008,5,43490.5113885729
canada,2009,1,42629.1461293557
canada,2010,6,55256.9346594102
canada,2014,4,77171.7870740287
canada,2015,10,79042.3987587374
canada,2016,3,82191.0195487832
canada,2017,7,84948.0024086582
canada,2018,2,86485.4091643207
canada,2018,5,80777.7555794812
canada,2019,11,85012.4777240058
canada,2021,10,104169.320780327
canada,2022,7,106637.44378941
canada,2022,11,106163.574104461
canada,2023,10,112030.154019418
canada,2024,1,115577.666268145
canada,2024,5,121117.443243994
canada,2007,5,40024.2618921908
canada,2009,2,43089.1275697218
canada,2009,9,58052.7683454696
canada,2011,9,63541.5255224023
canada,2011,11,65549.8089304499
canada,2012,3,69167.0314247562
canada,2014,3,76324.8439177972
canada,2015,2,74652.6483583451
canada,2016,5,84298.076729048
canada,2021,1,89106.9395814182
canada,2022,5,107893.187473428
canada,2022,10,103483.691144634
canada,2022,12,106952.377364743
canada,2024,2,115533.79589756
canada,2006,6,35845.663402193
canada,2008,9,42883.2795977383
canada,2010,1,56859.6054698246
canada,2011,1,58561.4550404464
canada,2011,4,62851.0752789264
canada,2011,5,63834.9279846326
canada,2011,6,62324.1014476053
canada,2013,10,71367.3264552169
canada,2014,5,77765.0562672533
canada,2015,1,74715.8213159382
canada,2015,4,77729.3071542994
canada,2015,8,77744.936600164
canada,2006,4,35645.9833108016
canada,2016,8,83756.2620847649
canada,2006,11,36407.7520693555
canada,2017,6,84626.0691338751
canada,2007,9,40900.1942855364
canada,2019,4,86039.5030264985
canada,2007,12,40991.2300288237
canada,2019,8,86147.5564446719
canada,2008,6,43753.9377870059
canada,2019,9,85238.4794706555
canada,2009,11,56292.1709352578
canada,2012,8,67002.2192355226
canada,2019,10,85514.9460768761
canada,2013,3,70052.5209257838
canada,2020,6,87276.9302673664
canada,2014,1,72658.4495470271
canada,2020,7,90400.6702210038
canada,2014,8,75489.710340953
canada,2015,6,76282.3917520699
canada,2020,8,89894.8470057395
canada,2020,11,91741.7331846036
canada,2016,2,81290.2728883842
canada,2022,3,103763.67986259
canada,2018,4,82220.4206088757
canada,2023,2,108463.224839782
canada,2020,12,90428.1364193486
canada,2021,5,89216.5015537395
canada,2021,8,106538.505867222
canada,2006,1,32896.9032045917
canada,2006,10,35576.4359380041
canada,2007,10,40711.5495182959
canada,2011,12,65652.1066671989
canada,2012,5,68528.7852656316
canada,2012,7,66144.0616364799
canada,2013,5,70553.1517112175
canada,2013,6,68765.4856311812
canada,2014,2,77041.2096282518
canada,2014,6,75748.1123522901
canada,2016,7,82904.0669310374
canada,2017,4,84709.8974378309
canada,2021,3,83375.0604056331
canada,2021,11,103626.563077828
canada,2022,6,106282.334088398
canada,2023,9,111938.834118374
canada,2024,3,117247.253719585
canada,2006,3,35966.2632597398
canada,2007,3,39230.5962169836
