country,year,month,lsci
mexico,2008,11,161.29
mexico,2009,2,164.2
mexico,2009,5,162.29
mexico,2009,8,150.69
mexico,2009,11,146.59
mexico,2010,2,146.98
mexico,2010,5,153.24
mexico,2010,8,158.43
mexico,2010,11,163.45
mexico,2011,2,162.51
mexico,2011,5,162.53
mexico,2011,8,155.93
mexico,2011,11,164.09
mexico,2012,2,152.5
mexico,2012,5,147.44
mexico,2012,8,155.96
mexico,2012,11,159.5
mexico,2013,2,161.06
mexico,2013,5,164.75
mexico,2013,8,168.71
mexico,2013,11,166.65
mexico,2014,2,159.52
mexico,2014,5,160.45
mexico,2014,8,167.26
mexico,2014,11,168.96
mexico,2015,2,173.04
mexico,2015,5,170.29
mexico,2015,8,169.68
mexico,2015,11,175.71
mexico,2016,2,173.38
mexico,2016,5,174.27
mexico,2016,8,169.71
mexico,2016,11,161.05
mexico,2017,2,160.31
mexico,2017,5,160.36
mexico,2017,8,166.02
mexico,2017,11,165.26
mexico,2018,2,164.2
mexico,2018,5,162.19
mexico,2018,8,165.86
mexico,2018,11,166.01
mexico,2019,2,167.2
mexico,2019,5,167.22
mexico,2019,8,172.27
mexico,2019,11,180.56
mexico,2020,2,178.85
mexico,2020,5,177.07
mexico,2020,8,173.79
mexico,2020,11,176.1
mexico,2021,2,179.28
mexico,2021,5,170.47
mexico,2021,8,174.39
mexico,2021,11,172.37
mexico,2022,2,173.11
mexico,2022,5,162.03
mexico,2022,8,169.96
mexico,2022,11,176.15
mexico,2023,1,177.29
mexico,2023,2,178.41
mexico,2023,3,170.13
mexico,2023,4,179.69
mexico,2023,5,176.47
mexico,2023,6,173.35
mexico,2023,7,181.09
mexico,2023,8,181.62
mexico,2023,9,181.34
mexico,2023,10,184.53
mexico,2023,11,184.7
mexico,2023,12,188.44
mexico,2024,1,189.4
mexico,2024,2,189.44
mexico,2024,3,190.19
mexico,2024,4,190.13
mexico,2024,5,187.24
mexico,2024,6,194.38
mexico,2024,7,199.48
mexico,2024,8,199.65
mexico,2024,9,193.01
mexico,2024,10,193.37
mexico,2024,11,189.17
mexico,2024,12,181.74
mexico,2025,1,187.58
mexico,2025,2,189.95
mexico,2025,3,188.23
mexico,2025,4,187.34
mexico,2025,5,190.87
mexico,2025,6,184.85
mexico,2025,7,190.36
mexico,2025,8,190.88
mexico,2025,9,192.31
mexico,2025,10,190.13
mexico,2025,11,193.39
mexico,2025,12,193.2
mexico,2026,1,190.4
mexico,2026,2,193.03
mexico,2026,3,192.93
south_korea,2006,2,428.35
south_korea,2006,5,431.48
south_korea,2006,8,432.31
south_korea,2006,11,438.43
south_korea,2007,2,444.98
south_korea,2007,5,443.68
south_korea,2007,8,453.91
south_korea,2007,11,465.23
south_korea,2008,2,457.76
south_korea,2008,5,456.89
south_korea,2008,8,461.16
south_korea,2008,11,458.14
south_korea,2009,2,470.67
south_korea,2009,5,474.85
south_korea,2009,8,456.55
south_korea,2009,11,457.08
south_korea,2010,2,455.58
south_korea,2010,5,478.93
south_korea,2010,8,518.0
south_korea,2010,11,509.76
south_korea,2011,2,513.73
south_korea,2011,5,530.35
south_korea,2011,8,528.61
south_korea,2011,11,519.93
south_korea,2012,2,500.69
south_korea,2012,5,506.11
south_korea,2012,8,519.58
south_korea,2012,11,527.63
south_korea,2013,2,525.49
south_korea,2013,5,520.25
south_korea,2013,8,517.53
south_korea,2013,11,520.48
south_korea,2014,2,507.39
south_korea,2014,5,506.76
south_korea,2014,8,503.9
south_korea,2014,11,508.88
south_korea,2015,2,519.49
south_korea,2015,5,529.7
south_korea,2015,8,541.55
south_korea,2015,11,529.39
south_korea,2016,2,536.18
south_korea,2016,5,536.45
south_korea,2016,8,546.43
south_korea,2016,11,526.65
south_korea,2017,2,528.12
south_korea,2017,5,536.44
south_korea,2017,8,542.2
south_korea,2017,11,543.29
south_korea,2018,2,545.63
south_korea,2018,5,555.17
south_korea,2018,8,555.98
south_korea,2018,11,553.32
south_korea,2019,2,556.09
south_korea,2019,5,568.42
south_korea,2019,8,565.51
south_korea,2019,11,559.26
south_korea,2020,2,558.91
south_korea,2020,5,543.01
south_korea,2020,8,549.61
south_korea,2020,11,555.81
south_korea,2021,2,552.78
south_korea,2021,5,560.26
south_korea,2021,8,561.54
south_korea,2021,11,583.06
south_korea,2022,2,587.34
south_korea,2022,5,582.03
south_korea,2022,8,598.74
south_korea,2022,11,596.68
south_korea,2023,1,604.84
south_korea,2023,2,601.17
south_korea,2023,3,606.35
south_korea,2023,4,612.49
south_korea,2023,5,622.06
south_korea,2023,6,623.43
south_korea,2023,7,630.62
south_korea,2023,8,638.07
south_korea,2023,9,636.36
south_korea,2023,10,642.03
south_korea,2023,11,639.46
south_korea,2023,12,640.97
south_korea,2024,1,636.81
south_korea,2024,2,640.26
south_korea,2024,3,643.96
