country,year,month,gpr_index
canada,2008,9,0.15947405993938446
china,2008,9,0.38403958082199097
france,2008,9,0.48818591237068176
germany,2008,9,0.33522099256515503
india,2008,9,0.2766386866569519
italy,2008,9,0.12041918933391571
japan,2008,9,0.156219482421875
mexico,2008,9,0.11065547168254852
south_korea,2008,9,0.26362037658691406
russia,2008,9,0.8331705927848816
south_africa,2008,9,0.06509145349264145
turkiye,2008,9,0.09112803637981415
united_kingdom,2008,9,0.7583154439926147
united_states,2008,9,2.0341079235076904
australia,2008,10,0.024992190301418304
brazil,2008,10,0.028116213157773018
canada,2008,10,0.10934083163738251
china,2008,10,0.34989064931869507
france,2008,10,0.3373945653438568
germany,2008,10,0.17182131111621857
india,2008,10,0.2030615359544754
italy,2008,10,0.07497657090425491
japan,2008,10,0.14995314180850983
mexico,2008,10,0.05310840532183647
south_korea,2008,10,0.22492970526218414
russia,2008,10,0.4154951572418213
south_africa,2008,10,0.04061231017112732
turkiye,2008,10,0.1187129020690918
united_kingdom,2008,10,0.6560449600219727
united_states,2008,10,1.380818486213684
australia,2008,11,0.0946073830127716
brazil,2008,11,0.0473036915063858
canada,2008,11,0.15542641282081604
china,2008,11,0.3007163107395172
france,2008,11,0.3074739873409271
germany,2008,11,0.18583592772483826
india,2008,11,0.5102040767669678
italy,2008,11,0.07433436810970306
japan,2008,11,0.15542641282081604
mexico,2008,11,0.08109203726053238
south_korea,2008,11,0.15204757452011108
russia,2008,11,0.47303688526153564
south_africa,2008,11,0.04392485320568085
turkiye,2008,11,0.08447087556123734
united_kingdom,2008,11,0.7264495491981506
united_states,2008,11,1.7603729963302612
australia,2008,12,0.07830269634723663
brazil,2008,12,0.03355829790234566
canada,2008,12,0.13796189427375793
china,2008,12,0.2908385992050171
france,2008,12,0.3504977822303772
germany,2008,12,0.10813229531049728
india,2008,12,0.8874305486679077
italy,2008,12,0.0596591979265213
japan,2008,12,0.07457399368286133
mexico,2008,12,0.07457399368286133
south_korea,2008,12,0.16033409535884857
russia,2008,12,0.38032737374305725
south_africa,2008,12,0.02982959896326065
turkiye,2008,12,0.11186099052429199
united_kingdom,2008,12,0.8315000534057617
united_states,2008,12,1.924009084701538
australia,2009,1,0.04146653413772583
brazil,2009,1,0.013822177425026894
canada,2009,1,0.15204395353794098
china,2009,1,0.24879920482635498
france,2009,1,0.4146653413772583
germany,2009,1,0.14167732000350952
india,2009,1,0.3455544412136078
italy,2009,1,0.10712187737226486
japan,2009,1,0.08638861030340195
mexico,2009,1,0.04492207616567612
south_korea,2009,1,0.15204395353794098
russia,2009,1,0.321365624666214
south_africa,2009,1,0.02418881095945835
turkiye,2009,1,0.169321671128273
united_kingdom,2009,1,0.7947751879692078
united_states,2009,1,1.7657831907272339
australia,2009,2,0.03384476527571678
brazil,2009,2,0.018802646547555923
canada,2009,2,0.10529482364654541
china,2009,2,0.31212395429611206
france,2009,2,0.2557159960269928
germany,2009,2,0.18426594138145447
india,2009,2,0.2444344162940979
italy,2009,2,0.03384476527571678
japan,2009,2,0.22563177347183228
mexico,2009,2,0.0639289990067482
south_korea,2009,2,0.2970818281173706
russia,2009,2,0.36477136611938477
south_africa,2009,2,0.018802646547555923
turkiye,2009,2,0.0752105861902237
united_kingdom,2009,2,0.5302346348762512
united_states,2009,2,1.58318293094635
australia,2009,3,0.045104432851076126
brazil,2009,3,0.02428700216114521
canada,2009,3,0.10755673050880432
china,2009,3,0.2463396042585373
france,2009,3,0.21164388954639435
germany,2009,3,0.14572201669216156
india,2009,3,0.21511346101760864
italy,2009,3,0.05204357951879501
japan,2009,3,0.1908264458179474
mexico,2009,3,0.1214350163936615
south_korea,2009,3,0.21858303248882294
russia,2009,3,0.3192006051540375
south_africa,2009,3,0.045104432851076126
turkiye,2009,3,0.06939143687486649
united_kingdom,2009,3,0.6973839402198792
united_states,2009,3,1.637637972831726
australia,2009,4,0.061451707035303116
brazil,2009,4,0.039762869477272034
canada,2009,4,0.16989588737487793
china,2009,4,0.5855985879898071
france,2009,4,0.3940138816833496
germany,2009,4,0.22411799430847168
india,2009,4,0.3578658103942871
italy,2009,4,0.0831405445933342
japan,2009,4,0.36509543657302856
mexico,2009,4,0.16266627609729767
south_korea,2009,4,0.5241469144821167
russia,2009,4,0.60005784034729
south_africa,2009,4,0.0361480638384819
turkiye,2009,4,0.11205899715423584
united_kingdom,2009,4,0.9037015438079834
united_states,2009,4,1.995373010635376
australia,2009,5,0.046749137341976166
brazil,2009,5,0.010788262821733952
canada,2009,5,0.18699654936790466
china,2009,5,0.3955696225166321
france,2009,5,0.2445339411497116
germany,2009,5,0.11867088824510574
india,2009,5,0.37039700150489807
italy,2009,5,0.06472957134246826
japan,2009,5,0.3236478567123413
mexico,2009,5,0.08630610257387161
south_korea,2009,5,0.5034522414207458
russia,2009,5,0.4387226700782776
south_africa,2009,5,0.03236478567123413
turkiye,2009,5,0.0791139230132103
united_kingdom,2009,5,0.6293153166770935
united_states,2009,5,2.078538656234741
australia,2009,6,0.02256063185632229
brazil,2009,6,0.06768189370632172
canada,2009,6,0.12784357368946075
china,2009,6,0.40985146164894104
france,2009,6,0.35344991087913513
germany,2009,6,0.22184620797634125
india,2009,6,0.2368866354227066
italy,2009,6,0.15416431427001953
japan,2009,6,0.17296484112739563
mexico,2009,6,0.06768189370632172
south_korea,2009,6,0.4248918890953064
russia,2009,6,0.4624929428100586
south_africa,2009,6,0.02632073685526848
turkiye,2009,6,0.05264147371053696
united_kingdom,2009,6,0.6918593645095825
united_states,2009,6,1.759729266166687
australia,2009,7,0.09170105308294296
brazil,2009,7,0.030567018315196037
canada,2009,7,0.16429772973060608
china,2009,7,0.38972947001457214
france,2009,7,0.29420754313468933
germany,2009,7,0.14519333839416504
india,2009,7,0.19868561625480652
italy,2009,7,0.15665596723556519
japan,2009,7,0.2063273787498474
mexico,2009,7,0.08405929803848267
south_korea,2009,7,0.4164756238460541
russia,2009,7,0.5349228382110596
south_africa,2009,7,0.034387893974781036
turkiye,2009,7,0.09170105308294296
united_kingdom,2009,7,0.741250216960907
united_states,2009,7,1.9257221221923828
australia,2009,8,0.09603072702884674
brazil,2009,8,0.0280089620500803
canada,2009,8,0.17205505073070526
china,2009,8,0.380121648311615
france,2009,8,0.2240716964006424
germany,2009,8,0.13604353368282318
india,2009,8,0.16005121171474457
italy,2009,8,0.04801536351442337
japan,2009,8,0.21606914699077606
mexico,2009,8,0.12804096937179565
south_korea,2009,8,0.3561139702796936
russia,2009,8,0.400128036737442
south_africa,2009,8,0.008002560585737228
turkiye,2009,8,0.06802176684141159
united_kingdom,2009,8,0.5761843919754028
united_states,2009,8,1.6925415992736816
australia,2009,9,0.04552524909377098
brazil,2009,9,0.04931901767849922
canada,2009,9,0.2086573839187622
china,2009,9,0.6145908236503601
france,2009,9,0.6221783757209778
germany,2009,9,0.6297659277915955
india,2009,9,0.19348229467868805
italy,2009,9,0.12140066176652908
japan,2009,9,0.14036951959133148
mexico,2009,9,0.08346295356750488
south_korea,2009,9,0.2769452631473541
russia,2009,9,0.8763610124588013
south_africa,2009,9,0.09863803535699844
turkiye,2009,9,0.08725672215223312
united_kingdom,2009,9,1.149512529373169
united_states,2009,9,2.2041807174682617
australia,2009,10,0.053339023143053055
brazil,2009,10,0.05689495801925659
canada,2009,10,0.13156959414482117
china,2009,10,0.42671218514442444
france,2009,10,0.4516037404537201
germany,2009,10,0.252471387386322
india,2009,10,0.3449256718158722
italy,2009,10,0.0675627589225769
japan,2009,10,0.14223739504814148
mexico,2009,10,0.0960102379322052
south_korea,2009,10,0.17779673635959625
russia,2009,10,0.5831733345985413
south_africa,2009,10,0.053339023143053055
turkiye,2009,10,0.07111869752407074
united_kingdom,2009,10,0.8249768614768982
united_states,2009,10,2.1051135063171387
australia,2009,11,0.06480387598276138
brazil,2009,11,0.09529981017112732
canada,2009,11,0.17916364967823029
china,2009,11,0.37357527017593384
france,2009,11,0.28208744525909424
germany,2009,11,0.23634353280067444
india,2009,11,0.19822360575199127
italy,2009,11,0.0457439087331295
japan,2009,11,0.1372317373752594
mexico,2009,11,0.07242786139249802
south_korea,2009,11,0.21728357672691345
russia,2009,11,0.4383791387081146
south_africa,2009,11,0.053367894142866135
turkiye,2009,11,0.08767582476139069
united_kingdom,2009,11,0.7280905842781067
united_states,2009,11,1.7382686138153076
australia,2009,12,0.07643414288759232
brazil,2009,12,0.06436559557914734
canada,2009,12,0.17700539529323578
china,2009,12,0.36607933044433594
france,2009,12,0.3419422209262848
germany,2009,12,0.22527958452701569
india,2009,12,0.2936680316925049
italy,2009,12,0.12873119115829468
japan,2009,12,0.12068549543619156
mexico,2009,12,0.06436559557914734
south_korea,2009,12,0.19309678673744202
russia,2009,12,0.48274198174476624
south_africa,2009,12,0.024137098342180252
turkiye,2009,12,0.10861694067716599
united_kingdom,2009,12,0.8850269317626953
united_states,2009,12,2.2085444927215576
australia,2010,1,0.040666937828063965
brazil,2010,1,0.06284890323877335
canada,2010,1,0.18854671716690063
china,2010,1,0.3660024404525757
france,2010,1,0.3179415166378021
germany,2010,1,0.19594070315361023
india,2010,1,0.19963769614696503
italy,2010,1,0.051757920533418655
japan,2010,1,0.16636474430561066
mexico,2010,1,0.08503086864948273
south_korea,2010,1,0.16266775131225586
russia,2010,1,0.3438204824924469
south_africa,2010,1,0.02218196541070938
turkiye,2010,1,0.10721283406019211
united_kingdom,2010,1,1.1349772214889526
united_states,2010,1,2.0555288791656494
australia,2010,2,0.047332968562841415
brazil,2010,2,0.06189696118235588
canada,2010,2,0.13835790753364563
china,2010,2,0.5097396969795227
france,2010,2,0.3094848096370697
germany,2010,2,0.2657928168773651
india,2010,2,0.20753686130046844
italy,2010,2,0.0655379593372345
japan,2010,2,0.08374294638633728
mexico,2010,2,0.0655379593372345
south_korea,2010,2,0.1747678816318512
